Input,Time,MaxMemory
2000,10.4417,354.066406
2000,10.8439,354.468750
2000,10.7460,355.136719
5000,19.2710,404.058594
5000,19.5749,404.550781
5000,19.1722,403.507812
5000,19.6754,403.890625
10000,30.7092,462.855469
10000,31.7193,462.765625
10000,31.0145,464.007812
20000,56.4006,624.460938
20000,54.6878,636.812500
20000,56.1997,636.062500
30000,78.4595,746.441406
30000,79.1715,746.207031
30000,80.2762,824.312500
40000,102.9390,1003.917969
40000,101.5364,940.699219
40000,101.7390,939.992188
50000,123.6192,1217.085938
50000,126.7406,1107.917969
50000,126.2217,1097.042969
67396,163.6503,1626.367188
67396,164.2440,1613.332031
67396,166.5727,1506.550781
80000,192.9452,1710.589844
80000,193.4353,1782.222656
90000,216.9086,1956.757812
90000,216.3161,1985.398438
100000,239.1937,2062.546875
100000,242.6927,2288.085938
134000,315.6453,2780.128906
134000,318.0353,2780.632812
200000,473.6652,4018.609375
