Image,Kernel,Implementation,Time
256,3,"SExtractor::BgConvolutionImageSource",23659228
256,3,"SExtractor::BgDFTConvolutionImageSource",112468387
256,5,"SExtractor::BgConvolutionImageSource",29860031
256,5,"SExtractor::BgDFTConvolutionImageSource",18916311
256,7,"SExtractor::BgConvolutionImageSource",62389839
256,7,"SExtractor::BgDFTConvolutionImageSource",128911780
256,9,"SExtractor::BgConvolutionImageSource",92967964
256,9,"SExtractor::BgDFTConvolutionImageSource",19686629
256,11,"SExtractor::BgConvolutionImageSource",135010282
256,11,"SExtractor::BgDFTConvolutionImageSource",174644498
256,13,"SExtractor::BgConvolutionImageSource",182813836
256,13,"SExtractor::BgDFTConvolutionImageSource",21153042
256,15,"SExtractor::BgConvolutionImageSource",247741012
256,15,"SExtractor::BgDFTConvolutionImageSource",21330527
256,17,"SExtractor::BgConvolutionImageSource",319284743
256,17,"SExtractor::BgDFTConvolutionImageSource",91486041
512,3,"SExtractor::BgConvolutionImageSource",51329332
512,3,"SExtractor::BgDFTConvolutionImageSource",266270409
512,5,"SExtractor::BgConvolutionImageSource",121818341
512,5,"SExtractor::BgDFTConvolutionImageSource",80994061
512,7,"SExtractor::BgConvolutionImageSource",237672659
512,7,"SExtractor::BgDFTConvolutionImageSource",81827302
512,9,"SExtractor::BgConvolutionImageSource",389424275
512,9,"SExtractor::BgDFTConvolutionImageSource",80158171
512,11,"SExtractor::BgConvolutionImageSource",573134371
512,11,"SExtractor::BgDFTConvolutionImageSource",410186283
512,13,"SExtractor::BgConvolutionImageSource",774338456
512,13,"SExtractor::BgDFTConvolutionImageSource",93383994
512,15,"SExtractor::BgConvolutionImageSource",1094672082
512,15,"SExtractor::BgDFTConvolutionImageSource",304093759
512,17,"SExtractor::BgConvolutionImageSource",1380567206
512,17,"SExtractor::BgDFTConvolutionImageSource",96258432
768,3,"SExtractor::BgConvolutionImageSource",120120045
768,3,"SExtractor::BgDFTConvolutionImageSource",403319024
768,5,"SExtractor::BgConvolutionImageSource",331093735
768,5,"SExtractor::BgDFTConvolutionImageSource",493372639
768,7,"SExtractor::BgConvolutionImageSource",551242818
768,7,"SExtractor::BgDFTConvolutionImageSource",189564315
768,9,"SExtractor::BgConvolutionImageSource",887218984
768,9,"SExtractor::BgDFTConvolutionImageSource",180481488
768,11,"SExtractor::BgConvolutionImageSource",1299103125
768,11,"SExtractor::BgDFTConvolutionImageSource",181647694
768,13,"SExtractor::BgConvolutionImageSource",1762433938
768,13,"SExtractor::BgDFTConvolutionImageSource",218492833
768,15,"SExtractor::BgConvolutionImageSource",2295931938
768,15,"SExtractor::BgDFTConvolutionImageSource",451443949
768,17,"SExtractor::BgConvolutionImageSource",2915973126
768,17,"SExtractor::BgDFTConvolutionImageSource",183771777
1024,3,"SExtractor::BgConvolutionImageSource",190225274
1024,3,"SExtractor::BgDFTConvolutionImageSource",1819144675
1024,5,"SExtractor::BgConvolutionImageSource",480688230
1024,5,"SExtractor::BgDFTConvolutionImageSource",565897910
1024,7,"SExtractor::BgConvolutionImageSource",982651478
1024,7,"SExtractor::BgDFTConvolutionImageSource",572882135
1024,9,"SExtractor::BgConvolutionImageSource",1641568874
1024,9,"SExtractor::BgDFTConvolutionImageSource",588152664
1024,11,"SExtractor::BgConvolutionImageSource",2347467168
1024,11,"SExtractor::BgDFTConvolutionImageSource",615517268
1024,13,"SExtractor::BgConvolutionImageSource",3332325502
1024,13,"SExtractor::BgDFTConvolutionImageSource",606965586
1024,15,"SExtractor::BgConvolutionImageSource",4737530682
1024,15,"SExtractor::BgDFTConvolutionImageSource",625136517
1024,17,"SExtractor::BgConvolutionImageSource",5855343981
1024,17,"SExtractor::BgDFTConvolutionImageSource",611801998
1280,3,"SExtractor::BgConvolutionImageSource",308036113
1280,3,"SExtractor::BgDFTConvolutionImageSource",678321581
1280,5,"SExtractor::BgConvolutionImageSource",799445478
1280,5,"SExtractor::BgDFTConvolutionImageSource",737539541
1280,7,"SExtractor::BgConvolutionImageSource",1595305898
1280,7,"SExtractor::BgDFTConvolutionImageSource",726176777
